GeneName,group,group2,group3
cyoA,denitrification,Cyo,a
cyoB,denitrification,Cyo,a
cyoD,denitrification,Cyo,a
cyoC,denitrification,Cyo,a
cyoE,denitrification,Cyo,a
narI,denitrification,NAR,a
narJ,denitrification,NAR,a
narH,denitrification,NAR,a
narG,denitrification,NAR,a
narK2,denitrification,NAR,a
narK1,denitrification,NAR,a
narL,denitrification,NAR,a
nirL,denitrification,NIR,a
nirG,denitrification,NIR,a
nirJ,denitrification,NIR,a
nirH,denitrification,NIR,a
nirM,denitrification,NIR,a
nirF,denitrification,NIR,a
nirS,denitrification,NIR,a
nirE,denitrification,NIR,a
nirN,denitrification,NIR,a
pqsA,quorum_sensing_biofilm,quorum_sensing,b
pqsD,quorum_sensing_biofilm,quorum_sensing,b
pqsE,quorum_sensing_biofilm,quorum_sensing,b
tpbA,quorum_sensing_biofilm,quorum_sensing,b
phhC,quorum_sensing_biofilm,quorum_sensing,b
phhB,quorum_sensing_biofilm,quorum_sensing,b
cupD5,quorum_sensing_biofilm,biofilm,b
phhA,quorum_sensing_biofilm,quqorum_sensing,b
phhA,quorum_sensing_biofilm,quqorum_sensing,b
exbB1,iron,iron_uptake,d
exbD1,iron,iron_uptake,d
tonB2,iron,iron_uptake,d
feoB,iron,iron_uptake,d
arcA,misc,arginine_deiminase,e
arcB,misc,arginine_deiminase,e
arcC,misc,arginine_deiminase,e
arcD,misc,arginine_deiminase,e
aroP2,misc,carbon_catab_repress,e
pgl,misc,carbon_catab_repress,e
hcnA,misc,cyanide_synthesis,e
hcnB,misc,cyanide_synthesis,e
hcnC,misc,cyanide_synthesis,e
ccpR,misc,cytochrome_c_oxidation,e
snr1,misc,cytochrome_c_oxidation,e
adhA,misc,ethanol_oxidation,e
lldD,misc,l_lactate_utilization,e
lldA,misc,l_lactate_utilization,e
hsiA2,misc,T6SS,e
hsiB2,misc,T6SS,e
ureF,misc,urea_hydrolysis,e
ureE,misc,urea_hydrolysis,e
ureG,misc,urea_hydrolysis,e
anr,global_reg,Global_Regulators,f
dnr,global_reg,Global_Regulators,f
